,text,score,magnitude
0,"families st basils homes aged residents fear loved ones outbreak grows…
",-80.0%,80.0%
0,"uae always icon giving  helped whole world fight support packages s…
",90.0%,90.0%
0,"good morning thefortress weather mild sunny bikingday  skiing amp…
",70.0%,70.0%
0," dont air sinclair conspiracy theories unfortunate abc business sinclair affiliate
",-80.0%,80.0%
0,"someone asked occupation replied forced stay insidewhile outsiders enjoying my…
",-60.0%,60.0%
0,"order recover economically must start support british jobs im banning warburtons in…
",-60.0%,60.0%
0,"judge blocks deportation  boy claims trump using excuse…
",-70.0%,70.0%
0,"seven years ted talk glean education children pandemic…
",-10.0%,10.0%
0,"trump cannot collaborate influence negotiate inspire lead tool stupid executive ord…
",-70.0%,70.0%
0,"five half novelsone tenyearold imac desktop year remote teaching lovemymac…
",-10.0%,10.0%
0,"ipan pleased recent news emanating abia state seems governorikpeazu returned the…
",-40.0%,40.0%
0,"southasia staysafe  july   gmt source
",10.0%,10.0%
0,"still remembers advert chickenlickensa chickenlickensa 🤷‍ funniest yet best advert ma…
",60.0%,60.0%
0,"nissans plant sunderland manufactured half million ppes frontline workers newnormal …
",-20.0%,20.0%
0,"amazing nfl player super bowl champion giving another shot championship hea…
",90.0%,90.0%
0,"us failing
",-80.0%,80.0%
0,"update new cases kuwait  tot  el salvador  tot  uni…
",-30.0%,30.0%
0,"organizers ny released statement nygovcuomo state law makers another incarcerated person w…
",-50.0%,50.0%
0,"peak season upon us we’re encourage people follow social distancing help stop t…
",10.0%,10.0%
0," easy steps stop acting  stooges
",60.0%,60.0%
0,"day day becoming worse claiming eminent personalities scared though next
",-70.0%,70.0%
0,"sjerseypete friends walter worse kind cancerhe anyone else would take c…
",-50.0%,50.0%
0,"please arrange bed patient temple premises much important ahead mega ram temple…
",0.0%,0.0%
0,"allcure lifescience delivering rich quality hand sanitizers details contact us contact leave your…
",-50.0%,50.0%
0,"baltimore struggling blackowned nursing home keeps bay a…
",-20.0%,20.0%
0,"always good get best products lowest price looking solution vis…
",90.0%,90.0%
0,"united states ranks second last raising family realdonaldtrump losertrump trumpfailedamerica gop…
",20.0%,20.0%
0,"largest number infections  day worldwide july  museumsunlocked…
",-30.0%,30.0%
0," relatives quarantine london england cousin waiting hospice bed so…
",-20.0%,20.0%
0,"win copy positivplanner motherhoodreal support mentalhealth …
",-40.0%,40.0%
0,"another reason trump must reelected get vaccine trump says take  won…
",-60.0%,60.0%
0,"mysuru dc abhiram g shankar became victim prank patient gave dcs number instead his…
",-60.0%,60.0%
0,"early elections still rages political opportunismcynicism runs deep even midst global cri…
",-70.0%,70.0%
0,"according pdma official responsible collecting uploading daily provincial tests government…
",0.0%,0.0%
0,"cmon dont let guys almost end allstates greenzones
",-60.0%,60.0%
0,"cant believe borisjohnson visited scotland skipping entire mainland straight orkney one t…
",-50.0%,50.0%
0,"southasia staysafe  july   gmt source
",10.0%,10.0%
0,"kashmir reports  related deaths jampk toll   woman safa kadal srinagar …
",-40.0%,40.0%
0,"africa  cases reported globally countries case fatality rates cfr comparable h…
",-30.0%,30.0%
0,"case missed webinar lessons share working long term care facilities nurs…
",-20.0%,20.0%
0,"first shop experience since march bothered look wearamask please protect the…
",-60.0%,60.0%
0,"thetrumpregime whattimeitis🤔 theyd bebest packtheysht gtfo now🤬gop think gone teargas…
",-50.0%,50.0%
0,"please check sportscene
",-20.0%,20.0%
0,"wanna start twitter follow thingy follow n follow asap obasekiflagsofftoday 
",10.0%,10.0%
0,"realdonaldtrump whole gop party enoughisenough enemyofthepeople…
",10.0%,10.0%
0,"baltimoreclevelandcolumbus indianapolislasvegasmiami minneapolisnashvilleneworleanspittsburgh stlous h…
",-10.0%,10.0%
0,"dont understand hate towards trump forcibly shutting states cant up…
",-90.0%,90.0%
0,"happened  valencia heathrow planning another trip ba take responsibili…
",0.0%,0.0%
0,"man many medical colleagues hero nfl healthcare
",10.0%,10.0%
0," exactly kate difficult concept many take board suffer with…
",-70.0%,70.0%
0,"surreal stuck two hotspots since began uk worst death count in…
",-80.0%,80.0%
0,"shut start right thedemocrats gop realdonaldtrump speakerpelosi senatemajldr…
",-60.0%,60.0%
0,"superdrug precisely supposed buy facemask one let shop buy facemask…
",-60.0%,60.0%
0,"cant believe photos real school  look cut scifi film a…
",-50.0%,50.0%
0,"  tokyo reports  cases day record high ※ japan tokyo goto…
",20.0%,20.0%
0,"electric vehicles knocked pandemic impact the…
",-40.0%,40.0%
0," either look pull bankjob straight clown blackisking …
",-60.0%,60.0%
0,"elimination tricky balance need figure costs befits decisions…
",-60.0%,60.0%
0,"selling babies  colours also available dm information durban based durbanjuly…
",0.0%,0.0%
0,"rte radio  marian show radiobrendanrte turning travel show travelogue encouraging peo…
",60.0%,60.0%
0,"well would thought lets reduce social distancing  youre lucky light blue touch paper a…
",-40.0%,40.0%
0,"cathlamaison airbnbhelp airbnb thank post cathlamaison repeat airbnb guest big…
",70.0%,70.0%
0,"around  students expected examination center kcet won’t hotspot …
",-80.0%,80.0%
0,"put spotlight criticality systematic implementation affordable rental hous…
",20.0%,20.0%
0,"cancellation partial cancellation stoppages trains due lockdown west bengal ecor odisha
",-60.0%,60.0%
0,"nikkihaley realdonaldtrump feeding beast trump destroyed foreign policy economy w…
",-70.0%,70.0%
0,"alert newsom economic task force starstudded cast cant solve reopening global pandemic news …
",-70.0%,70.0%
0,"cost people health environment omg wakeup victoria australia climateemergency impact fruit…
",-60.0%,60.0%
0,"australia welcomes vietnams ban wildlife imports markets amid new health fears
",0.0%,0.0%
0,"many nails coffin someone need every randomized study looking question publish…
",-10.0%,10.0%
0,"looking earn study work enough enough debts low income class inter…
",-10.0%,10.0%
0,"eastgodavari district reports another  positive cases last  hours  positive ca…
",40.0%,40.0%
0,"said one knew transmission could asymptomatic obviously listening bbc jan  de…
",-20.0%,20.0%
0,"check giveaway deal  bedroom semi detached duplex osapa london lekki hurry reach ou…
",0.0%,0.0%
0,"meet one royalfreelondon heroes elizabeth head childrens nursing barnet royal free hosp…
",30.0%,30.0%
0,"brucehaigh rife therewhom knowskarma works murphy strangest times bruce
",10.0%,10.0%
0,"despite differences we’re way beat  sindhgovt played great role combating…
",70.0%,70.0%
0,"govmikehuckabee realdonaldtrump gop cancels convention florida continues tell floridians s…
",-60.0%,60.0%
0,"even mild obesity raises severe risks obesity medtwitter
",-60.0%,60.0%
0,"highest total confirmed cases india maharashtra  cases followed tamilnadu …
",0.0%,0.0%
0,"threads think surely government local authorities would callous incompetent in…
",-80.0%,80.0%
0,"guardianeco attitude civilization right facetheclimateemergency with…
",-40.0%,40.0%
0,"confirm none passengers exempt wearing either popped soon we…
",-60.0%,60.0%
0,"afraid thankyouholyspirit speakingout science kids findmaryj fearwomen twitch…
",-80.0%,80.0%
0,"joshuapotash protect courthouse burn masks really protect transm…
",80.0%,80.0%
0,"mass evictions brazil generalnews
",20.0%,20.0%
0,"world get vaccine  end early  claims us pharma cos
",-20.0%,20.0%
0,"dear mr preseident masoodkhan plz take serious action legitimate demands students reso…
",-70.0%,70.0%
0,"stay safe antwerp sees epidemic flare need respect social distancing keep using faceprotection…
",-60.0%,60.0%
0,"homeschooling wasn’t well darth vader luke skywalker agree one starwars stopmotion…
",-70.0%,70.0%
0,"latest georgia numbers shows one highest single day counts new cases we’ve far …
",0.0%,0.0%
0,"samanthamalin nisalocally stay safe sam cannot understand people selfish remember…
",-80.0%,80.0%
0,"cant employees show work problem past  consecutive mornings trying go home…
",-80.0%,80.0%
0," new case gibraltar  gmt coronavirusupdate coronaviruspandemic
",-10.0%,10.0%
0," drummersark infinitusofuk engaginggeezer outragedmary nicolasturgeon adamboultonsky jacindaardern…
",20.0%,20.0%
0,"realdonaldtrump banned menace american society trump enemy icymi…
",-50.0%,50.0%
0,"madagascar drug treats cough ehanire discloses advising healthy foods righ…
",-60.0%,60.0%
0,"shinjuku recorded  cases setagaya nakano itabashi  cases day tokyo japan…
",0.0%,0.0%
0,"rte saw lovely ad  granny talking new greatgrandson hopes see fa…
",70.0%,70.0%
0,"maharastra syllabus class  reduced  coming academic year due situation sa…
",-50.0%,50.0%
0,"know bbclaurak want understand consider evidence your…
",-70.0%,70.0%
0,"southasia staysafe  july   gmt source
",10.0%,10.0%
0,"shivraj ji breaking rules regulations rallies pandemic law applies eage…
",-30.0%,30.0%
0,"cases   deaths   recovered   active cases  …
",10.0%,10.0%
0,"updates  uk deaths face masks become mandatory shops england coronaviruscrisis uk…
",-60.0%,60.0%
0,"havent seen anyone discuss highlight seems recipe disaster would appreciate a…
",-70.0%,70.0%
0,"seriously firstworldproblems worst thing happen  oh humanit…
",-80.0%,80.0%
0,"congress needs stand families text savecc  senator tell to…
",-50.0%,50.0%
0,"another example reagan enabled lincoln project type republicans contributed hellscape now…
",0.0%,0.0%
0,"health staff carrying checkup swab test urban primary health centre kharghar navimumbai o…
",-50.0%,50.0%
0,"needs glastonbury create festival home check latest video
",-30.0%,30.0%
0,"tobacco smoking staff finally got accurate information evidence reveal…
",-10.0%,10.0%
0,"big breaking  madhyapradesh cm shivrajsinghchouhan tests positive man bla…
",-40.0%,40.0%
0,"zimbabwes origin based oppressive authoritarian basis formula mugabe no…
",-60.0%,60.0%
0,"player league doctor opts  season speak volumes players…
",-10.0%,10.0%
0,"depopulation agenda melinda gates wants deliver vaccine based racial groups blacks fir…
",-30.0%,30.0%
0,"blasphemybunny adamcreighton australian absolute expert courtesy the…
",90.0%,90.0%
0,"thankful local woodardcompany group making time stay connected …
",90.0%,90.0%
0,"good day beautiful people wish refreshing weekend remember maintain social distancing wea…
",80.0%,80.0%
0,"bbcnews theme developing johnson understand virus begin johnson appears to…
",-40.0%,40.0%
0,"kategreensu talks using crisis opportunity education mixed settings children —school families
",-20.0%,20.0%
0,"live new england hawaii ny charliebakerma wants stay heck unless q…
",-40.0%,40.0%
0,"proud moment ims bhu team eminent faculty members modern medicine ayurveda c…
",80.0%,80.0%
0,"wear mask socially distance
",0.0%,0.0%
0,"nba use new together mode video meet app microsoft teams place basketball fans courtside in…
",30.0%,30.0%
0,"elonmusk “blunt” gives happiness one smoke inducing make employees come back wo…
",-60.0%,60.0%
0,"rajasthanpoliticalcrisis bjp delegation arrives raj bhawan jaipur meet governor kalraj mishra over…
",10.0%,10.0%
0,"realdonaldtrumps gop asskissers insistence opening schools divorced reality a…
",-10.0%,10.0%
0,"centre disaster management lbsnaa creating repository response india government orders…
",-50.0%,50.0%
0,"long revealing piece vaccine
",-10.0%,10.0%
0,"paypal askpaypal please something isn’t right worked hard money paycheck fami…
",-80.0%,80.0%
0,"humanity best reached helped someone else we’d better place now…
",50.0%,50.0%
0,"new normal construction strict regulations capitoltwinpeaks srilanka lka…
",-20.0%,20.0%
0,"frannyarmstrong sweating might fever probably something
",-40.0%,40.0%
0,"rajasthan bjp delegation led state party president satish poonia leader opposition gulab chandra kataria…
",-30.0%,30.0%
0,"sign momsrisings letter senator urging savechildcare extend expand paidleaveforall resp…
",0.0%,0.0%
0,"cultural continuity maintained educating children ways culture educated the…
",70.0%,70.0%
0,"station  personnel led pcpt julius b luis station commander conducted barangay visitation monitoring qu…
",0.0%,0.0%
0,"jaipur  delegation led state party president drsatishpoonia leader opposition…
",-30.0%,30.0%
0,"home starting place love hope dreams thankyou homesweethome blessed melbourne …
",90.0%,90.0%
0,"matthancock matthancock genuine question anyone works advisors secretary etc read an…
",-20.0%,20.0%
0,"us hits  million cases trump cancels jacksonville rnc activities thesource wearyourmask
",-20.0%,20.0%
0,"doctor runs  miles face mask prove dont lower oxygen levels maskup…
",-60.0%,60.0%
0,"speaking bbc mark  anniversary entering downing street uk pm borisjohnson said “we did…
",-10.0%,10.0%
0,"president trump says disappear jobs crisis fading anytime soon unemployment cla…
",-70.0%,70.0%
0,"looking reconnect network values purpose help reconnect…
",-50.0%,50.0%
0,"coronavirusinus total  positive cases reported date united states and…
",40.0%,40.0%
0,"uae announced additional  grace period visit visas expired march 
",-30.0%,30.0%
0,"senators seek comprehensive farsighted solutions dutertes  sona
",0.0%,0.0%
0,"washington demanding australian government participate aggressively us provocations south…
",-80.0%,80.0%
0,"get testing dupage get tested dupage county drivethru testing site arrive ea…
",-10.0%,10.0%
0,"rebuildbetter toward equitable future climatejustice
",30.0%,30.0%
0,"focus publicity priyankagandhi myogioffice
",-50.0%,50.0%
0,"remember always wear mask keep others safe psa
",40.0%,40.0%
0," mt fresh ginger exported manu lcs tripura bangladesh agriculture farmers apeda…
",80.0%,80.0%
0,"tokyo  olympics  cancelled due  world war  years later tokyo  olympics  hav…
",-60.0%,60.0%
0,"doesnt reduce oxygen levels doesnt protect either fck sold media yø
",-80.0%,80.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"contact find bmi   people extra weight defined body mass index over…
",-20.0%,20.0%
0,"dutch pm hijacked eu summit markrutte
",-30.0%,30.0%
0,"makes rightwingers stupid america wants know fight pandemic maga coronavirus…
",-80.0%,80.0%
0,"south africa  infections experts debate merit govt’s response professor shabir madhi…
",-20.0%,20.0%
0,"rupahuq perhaps uk death toll borisjohnson means talks us world beating 
",-60.0%,60.0%
0,"tell patients truthstop lieing families small amount time rib texas…
",-30.0%,30.0%
0,"heres patients might face discharged hospital longcovid
",-50.0%,50.0%
0," reasons schools go online 🤪  guidelines dubai’s private schools follow…
",-30.0%,30.0%
0,"history written victors unfortunate enough lose tyranny ccp evil deed…
",-80.0%,80.0%
0,"trying get glimpse whats happening lee funeral home masculinitysaturday raila eldoret…
",-10.0%,10.0%
0,"dr robert cicco  words could cost pa fight kids childern
",-10.0%,10.0%
0,"dr robert cicco  words could cost pa fight kids childern
",-10.0%,10.0%
0,"live indias testing hits record high  samples day catch latest upda…
",20.0%,20.0%
0,"wearing mask important stop arent dead homeless people big cities dyin…
",-30.0%,30.0%
0,"beginning develop huge fondness online conferences experience much better inperson ones…
",0.0%,0.0%
0,"kidsdronezone says cool droneshowla it’s saturday go fly drone fpv dronelife summer fun…
",50.0%,50.0%
0,"ive texas  days helping daughter move austin state maskmandate followed peo…
",0.0%,0.0%
0,"seems britain leads world medicine development skynews bbcnews report
",-20.0%,20.0%
0,"wearadamnmask wearamask savelives nhs wear mask everyone else protectothers…
",-30.0%,30.0%
0,"coronavirusnewsdesk – uk  total number labconfirmed cases  positive test res…
",50.0%,50.0%
0,"everyone worked happily ever yourfriendlyneighbourhoodhotel workpad staysafe coronavirus…
",90.0%,90.0%
0,"isnt suspicious leftist mayors govs etc colluded kill us economy shuttering small businesse…
",-50.0%,50.0%
0,"rowlandkao newscientist nice discussion elimination
",80.0%,80.0%
0,"delhi need blood plasma group b b positive patient name rakesh  yrs male h…
",-20.0%,20.0%
0,"cdc reminding people facemasks shouldnt worn chin maskup
",-50.0%,50.0%
0,"stories powerful told shared inspire people calling stories rural health social w…
",40.0%,40.0%
0,"contact us     visit us interiordesigners interiordesignersinmadurai…
",0.0%,0.0%
0,"want porgs porglife porgnation wearamask
",0.0%,0.0%
0,"slow return passengers lockdown means tfl require additional £ full financial…
",-80.0%,80.0%
0,"work never urgent africa globalsurgery kidsoperating jaimedebourbon nikhilsethun…
",-30.0%,30.0%
0,"lol international flight individual charter plane  resell ticket high price business
",-40.0%,40.0%
0,"pandemic bring eurozone pietercleppe eu
",-10.0%,10.0%
0,"average age new cases
",-10.0%,10.0%
0,"govhawaii spain’s mistake reopening mild success rely tourism new cases breaking hawaii d…
",-40.0%,40.0%
0,"british prime minister boris johnson criticised acting slowly  pandemic s…
",-70.0%,70.0%
0,"xavi confirmed tested positive statement instagram football alsaddsc…
",0.0%,0.0%
0,"want understand government plans disasters role class survives doe…
",-60.0%,60.0%
0,"cbsnews many pets tested positive corona carrying traitor pets
",70.0%,70.0%
0,"rubendiazjr realdonaldtrump ive saying long time funny style red…
",60.0%,60.0%
0,"vietnam recorded first local transmission case  months
",-20.0%,20.0%
0,"south indian states situation glance 
",20.0%,20.0%
0,"cant hear picture memes
",-90.0%,90.0%
0,"egypt total  confirmed deaths
",0.0%,0.0%
0,"webinar pri asset owner series asset owner  century join pris ceo fireynolds roger urwin…
",0.0%,0.0%
0,"lack support recognition family carers insulting “i’m reaching end tether” says…
",-80.0%,80.0%
0,"failure lincoln project video shows trumps response timeline surging cases deaths failure…
",-70.0%,70.0%
0,"zedtwitter would want free hand sanitizer download medsearch zambia app get location neare…
",-10.0%,10.0%
0,"it’s getting real texas
",40.0%,40.0%
0,"realdonaldtrump  horrid deaths watch every day thousands americans die of…
",-80.0%,80.0%
0,"emptiness cosasqueveo
",30.0%,30.0%
0,"dbongino said right kids don’t go school want tax money back payme schoolsreopening
",-70.0%,70.0%
0,"nstworld jairbolsonaro would easily win second round opponent even popular exjustice minist…
",-10.0%,10.0%
0,"instead democrats republicans refer progressives conservatives civil war era c…
",-70.0%,70.0%
0,"podcasts   pandemic podcasts virologists epidemiologists…
",10.0%,10.0%
0,"jamesmelville agree one james watch please minimise spreading  …
",-20.0%,20.0%
0,"realdonaldtrump republicans working hard cover things change narrative gaslighting…
",20.0%,20.0%
0,"way get life country control wear mask masks keep virus particles from…
",30.0%,30.0%
0,"invest learning enroll candidate qit grades computer studies never same…
",-20.0%,20.0%
0," vote scotusblog rejected nevada churchs request block enforcement state restrictions att…
",-60.0%,60.0%
0,"can’t get handing sandbags florida maybe florida big problem…
",-70.0%,70.0%
0,"virus engineered virus derives failed attempt create hiv vaccine nobel laureat…
",-70.0%,70.0%
0,"john david rhodes corpus graduation ceremony  brighton zoom
",0.0%,0.0%
0,"india  lakh tests every day last one week ministry said
",0.0%,0.0%
0,"france singles  million priority citizens vaccine via rfien
",20.0%,20.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"rachakondatrafficpolice conducted awareness program precautions prevent socialdistancing us…
",20.0%,20.0%
0,"theharveycentre what’s point mandatory mask people allowed break law 🤷‍…
",-70.0%,70.0%
0,"egetwhy dey talk enoughisenough cos hustle kindly support brothers business retweets goes…
",-10.0%,10.0%
0,"college alameda students faculty helping fight food insec…
",40.0%,40.0%
0,"rajasthan bjp delegation led state party president satish poonia leader opposition gulab chandra kataria…
",-30.0%,30.0%
0,"good insights summary africa’s responses pandemic good see proactive wide range soci…
",90.0%,90.0%
0,"ravisheoran hi ravisheoran also get complete info stats mapmyindia covid…
",30.0%,30.0%
0,"paypal askpaypal entire paycheck deposited paypal account limitation placed accou…
",-60.0%,60.0%
0,"active cases rajasthan india increased  last  hours  per hour info provider…
",-10.0%,10.0%
0,"wapo good interactive list subset national numbers bottom
",50.0%,50.0%
0,"around  students expected examination center kcet won’t hotspot …
",-80.0%,80.0%
0,"apparently dom cummings hates app sees enemy thats true help slow spread of…
",-80.0%,80.0%
0," new cases turks caicos islands  gmt coronavirusupdate coronaviruspandemic
",0.0%,0.0%
0,"true false awaybyremi tachadancechallange 
",-60.0%,60.0%
0,"km beats climbing higher work digital platforms lockdownsa blackisking…
",30.0%,30.0%
0,"greece imposes requirement proof negative test passengers flying bulgaria and…
",-60.0%,60.0%
0,"wear wear mask absence evidence evidence absence words shou…
",-30.0%,30.0%
0,"survey finds average person gained  pounds quarantine really hap…
",0.0%,0.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"india records highestever tests single day nearly  crore samples tested far in…
",0.0%,0.0%
0,"keep sharing help slow spread identify risk cases sooner selfreporting symptoms…
",70.0%,70.0%
0,"think irritating part lady chicago ‘popeyeschicken first got…
",-80.0%,80.0%
0,"sinclair owns  local television stations nearly  markets conspiracy spread faster
",-10.0%,10.0%
0," hi  thanks sharing also check online map latest and…
",70.0%,70.0%
0,"vietnam detects first domestic case  months
",10.0%,10.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"david kriesels databased explanations findings plots interpretation aids shed light w…
",0.0%,0.0%
0,"important wear mask right way covering nose mouth completely control spread of…
",70.0%,70.0%
0,"people talking “god you” “god protect you” that’s super nice an…
",50.0%,50.0%
0,"lord good love discipline forgive set us free time blm 
",90.0%,90.0%
0,"im donating high antibody blood plasma hope helps people fights against…
",40.0%,40.0%
0,"actor vishalkofficial father mrgkreddy tested positive  days back vishal s…
",0.0%,0.0%
0,"redievel hola amego  tweet describes perfect mexican stand slim size zero ener…
",50.0%,50.0%
0,"malaysia update july   saturday  import   local transmission malaysian …
",-30.0%,30.0%
0,"really understand virus one must attend meetings read reports listen scientists did…
",-30.0%,30.0%
0,"andhrapradeshcm icccwap harikrishnacmo ysjagan ysrcparty pawankalyan jspshatagniteam janasenaparty…
",20.0%,20.0%
0,"last  months really shown impatient people people incapable handling loss a…
",-80.0%,80.0%
0,"first facemask inactivates created portugal
",0.0%,0.0%
0,"haha realdonaldtrump democratichoax
",50.0%,50.0%
0,"type person tells  different stories woke get life  memes
",-40.0%,40.0%
0," historical timeline went obsolete  months dig history🤓 thrilled buy ‘timeline o…
",-20.0%,20.0%
0,"portugal still quarantine list holidaymakers uk portugal death rate lot lowe…
",-40.0%,40.0%
0,"quarantine influences earth movement movability oneplanet
",20.0%,20.0%
0,"rajasthan bjp delegation led state party president satish poonia leader opposition gulab chandra kataria…
",-30.0%,30.0%
0,"clinical characteristics  subscribe videos health medicine …
",0.0%,0.0%
0,"week learned son secretly training zombie apocalypse broadway play see end…
",20.0%,20.0%
0,"survivor fingers amputated ‘this happen you’ “it sho…
",-30.0%,30.0%
0,"talking ⁦wbur⁩  million renter households risk eviction …
",-50.0%,50.0%
0,"students future state country become victims deadly virus an…
",-60.0%,60.0%
0,"need follow  ws long yet wearamask washyourhands watchyourdistance …
",-30.0%,30.0%
0,"able loved one one worst times life hurts corona brutal
",0.0%,0.0%
0,"stay focus obasekiflagsofftoday egetwhy awaybyremi follow back
",0.0%,0.0%
0,"pointed “low death rate” oman understand deaths lag new cases month someone…
",-30.0%,30.0%
0,"actor vishalkofficial father mrgkreddy tested positive  days back vishal s…
",0.0%,0.0%
0,"csdberlin year anyone who’s seen csd berlin would know berlin real…
",0.0%,0.0%
0,"worth share
",90.0%,90.0%
0," new infections three days reloads graphics show sad records re…
",-70.0%,70.0%
0,"return ‘old normal’ says un health chief cases top  million
",-20.0%,20.0%
0,"ship ozo nengi dorothy   bbnaijalaunch bbnaijaupdates…
",-10.0%,10.0%
0,"update   would   cases  deaths  in…
",-40.0%,40.0%
0,"archives president cyrilramaphosa khuselas
",0.0%,0.0%
0,"see follow guideline🤦‍🤦‍
",0.0%,0.0%
0,"much opportunity brought right wrongs lost politicians eager return normal…
",-50.0%,50.0%
0,"belief god higher power transfer good morals easy morality cho…
",50.0%,50.0%
0,"aasiya andrabi aide transfered punishment cell time health weak spr…
",50.0%,50.0%
0,"realdonaldtrump oktraitor failed coronaviruspandemic  wave test trace track w dpa feb wouldve s…
",-40.0%,40.0%
0,"said controversy nbamalaka tshiamomm palesalegodi madimetjaramol milanmavundla…
",-40.0%,40.0%
0,"need surviving story people recovered dont need stigma message yvon…
",-60.0%,60.0%
0,"aci launches health accreditation programme assess health measures airports aciworld  re…
",0.0%,0.0%
0,"‘collision’ aurealis award winner remember thank youaurealisawards eugenbacon katclay fo…
",40.0%,40.0%
0,"anna levine got law degree  beat cancer twice took  cl…
",-70.0%,70.0%
0,"nextlevellion illegal guy doesnt even sound cop heres protect yours…
",-80.0%,80.0%
0,"brilliant minds giving us insight post  worth read reality check reminder…
",80.0%,80.0%
0,"schoolsreopening facecoverings backtoschool support local shops visit us  days week ann arbor…
",10.0%,10.0%
0," – fighting viruses eloclear read living enemy pt  returning work post wo…
",0.0%,0.0%
0,"alert remember families share memories died global pandemic news …
",-10.0%,10.0%
0,"drdavidsamadi jamminwithdonna stop spreading deny lies spiking many states amercians banned…
",-90.0%,90.0%
0,"participants eece access scientific contents  months meeting including sess…
",0.0%,0.0%
0,"intend use emergency powers stop voting blame hmmm maddow
",-80.0%,80.0%
0,"actor vishalkofficial father mrgkreddy tested positive  days back vishal s…
",0.0%,0.0%
0,"anyone got good resourcesarguments masks arent bad good idea  wearamask wearadamnmask
",70.0%,70.0%
0,"africans capable liberating africans poverty war zimbabwe cameroon ethiopia…
",0.0%,0.0%
0,"us vaccine likely wont widely available several months  fauci says
",-60.0%,60.0%
0,"please medtwitter nursetwitter thing dont know fellow nurse needs us
",-70.0%,70.0%
0,"pray things amen chaplain healthcareworkers firstresponders
",30.0%,30.0%
0,"newmusic coming jennifermlott music help blues
",60.0%,60.0%
0,"new mri study comarecoverylab shows microvascular lesions   patients severe …
",-10.0%,10.0%
0,"dear twitter since experts charge generated much conflicting information dont you…
",-70.0%,70.0%
0,"i’m never stable soul emotionally lately it’s riding crazy rollercoaster  weeks …
",-40.0%,40.0%
0,"shivraj singh chouhan tests positive mp chouhanshivraj medicirclei
",20.0%,20.0%
0,"vietnam lauded fight first local case  days read cdc…
",30.0%,30.0%
0,"’s turning point malaysia dr arvindersingh hs focusmalaysiamy 
",40.0%,40.0%
0,"madagascar drug treats cough ehanire discloses advising healthy foods righ…
",-60.0%,60.0%
0,"real man afraid tell world dating real man points gal friends kind…
",20.0%,20.0%
0,"barcelona legend xavi tests positive fans wish ‘midfield maestro’ speedy recovery see tweets…
",30.0%,30.0%
0,"realdonaldtrump want hold stimulus package selfish reasons hotel prec…
",-80.0%,80.0%
0,"higher government spending isn’t ideal “crowds out” business investment  reason im thrille…
",-80.0%,80.0%
0,"barackobama also sarahzhang drdenagrayson schools require kids rightfully get vaccinated have…
",-60.0%,60.0%
0,"almost  per cent cases bhubaneswar asymptomatic says bmcbbsr commissioner prem chnadra…
",-40.0%,40.0%
0,"school resumption schools  states reopen schools july   click read…
",-30.0%,30.0%
0,"republicans forcing us  unemployment cliff better prepared side this…
",-70.0%,70.0%
0,"update bhubaneswar total cases  slums  death  active  symptomatic  asymptomati…
",-40.0%,40.0%
0,"give  every american moneyforthepeople sign petition via change
",-10.0%,10.0%
0,"touchless infotainment system may reduce germs distracteddriving software ai sensors…
",0.0%,0.0%
0,"fascinating insightful tedtalks rachel davis inspiring confidence selfbelief children music…
",90.0%,90.0%
0," davidicke lidlgb sainsburys aldiuk costacoffee petsathome  thanks fabricated figur…
",60.0%,60.0%
0,"thank swimengland campaigning openourpools many swim clubs back running
",90.0%,90.0%
0,"news cdc calls schools reopen downplaying health risks 
",-10.0%,10.0%
0,"news outbreak causes strain rio grande valley texas 
",-50.0%,50.0%
0,"onethird patients arent hospitalized longterm illness cdc says via…
",-70.0%,70.0%
0,"american school systems need ignore whitehouse guidelines follow original cdcgov white hous…
",-80.0%,80.0%
0,"lot questions circulating momstobe even questions what…
",-60.0%,60.0%
0," face masks   designed bluedarkart thechameleonart  available shop  …
",0.0%,0.0%
0,"listening carers speaking radiobrendanrte it’s clear need support people are…
",-40.0%,40.0%
0,"challenge posed new diseases de facto empirical ground zero entail high…
",-10.0%,10.0%
0," oh canada  news bc  good esp haidagwaii 
",80.0%,80.0%
0,"home made reflector test resultsgtgtgt shot funds equipment lenses lighting equipment…
",0.0%,0.0%
0,"artificial intelligence contribute healthcare industry artificialintelligence coronavirus…
",0.0%,0.0%
0,"hope usa gop trump impeachment america would better different dead   every…
",-80.0%,80.0%
0,"""""
",10.0%,10.0%
0,"insidersabc davidspeers joshfrydenberg fellow faintest idea plot australians recov…
",0.0%,0.0%
0,"hi everybody follow link know seller get music promote top rated social m…
",30.0%,30.0%
0,"asking everyone treat decisions go meet lifeand…
",-20.0%,20.0%
0,"back old normal pandemic already changed way live lives world…
",30.0%,30.0%
0,"repost crazyteacherlady organize national teacher strike get word across ohio…
",0.0%,0.0%
0,"analysis finds  lost health insurance amid pandemic healthcare healthinsurance florida
",-50.0%,50.0%
0,"even competent president eg hillary would disaster manageable one rest worl…
",30.0%,30.0%
